# jp<TAB>ru
わたし	я
あなた	ты/вы
かれ	он
かのじょ	она
わたしたち	мы
みなさん	все
にほん	Япония
にほんご	японский язык
えいご	английский язык
くに	страна
まち	город
むら	деревня
いえ	дом
へや	комната
がっこう	школа
だいがく	университет
せんせい	учитель
がくせい	студент
ともだち	друг
かぞく	семья
ちち	отец
はは	мать
あに	старший брат
あね	старшая сестра
おとうと	младший брат
いもうと	младшая сестра
こども	ребенок
ひと	человек
なまえ	имя
ほん	книга
じしょ	словарь
てがみ	письмо
しんぶん	газета
ざっし	журнал
でんわ	телефон
けいたい	мобильный телефон
パソコン	компьютер
つくえ	стол
いす	стул
かばん	сумка
かさ	зонт
くつ	обувь
ふく	одежда
ぼうし	шапка
とけい	часы
かぎ	ключ
おかね	деньги
ぎんこう	банк
びょういん	больница
くすり	лекарство
みせ	магазин
スーパー	супермаркет
えき	станция
くるま	машина
でんしゃ	поезд
じてんしゃ	велосипед
ひこうき	самолет
ふね	корабль
みち	дорога
はし	мост
こうえん	парк
うみ	море
かわ	река
やま	гора
そら	небо
たいよう	солнце
つき	луна
ほし	звезда
あめ	дождь
ゆき	снег
かぜ	ветер
てんき	погода
はる	весна
なつ	лето
あき	осень
ふゆ	зима
あさ	утро
ひる	день
よる	ночь
きょう	сегодня
あした	завтра
きのう	вчера
いま	сейчас
じかん	время
まいにち	каждый день
しゅう	неделя
つき	месяц
とし	год
いち	один
に	два
さん	три
よん	четыре
ご	пять
ろく	шесть
なな	семь
はち	восемь
きゅう	девять
じゅう	десять
たべる	есть
のむ	пить
みる	смотреть
きく	слушать
よむ	читать
かく	писать
はなす	говорить
いく	идти
くる	приходить
かえる	возвращаться
ねる	спать
おきる	просыпаться
はたらく	работать
べんきょうする	учиться
あそぶ	играть
かう	покупать
うる	продавать
つくる	делать
わかる	понимать
しる	знать
ある	быть (неодуш.)
いる	быть (одуш.)
すき	любимый/нравится
きらい	не нравится
おいしい	вкусный
たかい	дорогой/высокий
やすい	дешевый
おおきい	большой
ちいさい	маленький
あたらしい	новый
ふるい	старый
いい	хороший
わるい	плохой
はやい	быстрый/ранний
おそい	медленный/поздний
あつい	жаркий
さむい	холодный
しろい	белый
